Symbol,HR,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
HPS5,0.6592670844001158,-0.4166265391810514,0.1291033297324292,-3.227078186476858,0.0012506128207117918,0.2892326378082544,0.38950469023195317,-------,7,7
CNOT2,0.635758004954815,-0.4529372834028041,0.14113921966732065,-3.2091525266359193,0.0013312684952765353,0.29883062223383877,0.5475653112583468,-+-----,6,7
CRKL,0.6561848115141028,-0.421312804845988,0.131545343372325,-3.202795279902134,0.0013610069385826139,0.30152926787577033,0.6978354008556092,---+---,6,7
GBP5,0.7721130236869685,-0.25862433593374595,0.08079444952807595,-3.2010161272758517,0.0013694386711726057,0.30152926787577033,0.2004947583913911,----..-,5,5
QRICH1,0.5966854435371252,-0.5163651996953105,0.16139276996020607,-3.19943204285191,0.0013769864580025389,0.30152926787577033,0.5506700743926105,-+-----,6,7
LASP1,0.6588375049178967,-0.4172783531583484,0.13073784822645393,-3.1917180741384947,0.0014142930332893247,0.30152926787577033,0.9668122621221448,-------,7,7
COX11,0.6844963983802868,-0.3790718959471157,0.11876767537200009,-3.191709316190618,0.001414335913369532,0.30152926787577033,0.816743465477226,-------,7,7
DHX8,0.5941789326933608,-0.5205747714906843,0.16312646886305834,-3.1912342314458924,0.0014166637884998944,0.30152926787577033,0.7556586922536876,-------,7,7
SNX6,0.6061347542578124,-0.5006529508705798,0.15714591578434953,-3.1859113128821184,0.001442988243154792,0.303504739772841,0.3397610954348468,----..-,5,5
CHFR,0.6409189554008217,-0.44485226468710243,0.14002871837245748,-3.176864502207722,0.0014887657478231623,0.3093565431122883,0.4788824902277796,-+-.---,5,6
EPM2AIP1,0.7086255499078609,-0.34442803031699903,0.10877029405337878,-3.1665633830866704,0.0015425172630739118,0.31248463728421855,0.9262291380805567,----..-,5,5
TBL1XR1,0.7177828291611538,-0.331588222035453,0.10471954607262761,-3.1664405974934424,0.0015431686059497775,0.31248463728421855,0.7256565685830947,-------,7,7
ST3GAL5,0.5664461722674777,-0.5683732210912829,0.17950983263429196,-3.1662511894220655,0.0015441738589965876,0.31248463728421855,0.14472804555545773,-------,7,7
MYBPH,1.165464469433142,0.15311969377214046,0.048407898380457844,3.1631138490811765,0.0015609127583873015,0.31283844328345833,0.47231725159718696,+-+-+++,5,7
