Symbol,odds.ratio,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
RASGRP1,1.3920426350559387,0.3307721900753209,0.05296024039037035,6.245670103405809,4.219869992892146e-10,8.126625632311695e-7,0.9083150244134769,+++++-++++++++++,15,16
CCR2,1.3460871271608763,0.29720195955916945,0.04796627157464307,6.196061311471258,5.789358255907206e-10,1.0789496254089772e-6,0.45478476080416974,+++++-+-++-+-+++,12,16
TACO1,2.0424667107759382,0.7141582493454882,0.1155069654557173,6.182815439119817,6.296831806623645e-10,1.1368536274871078e-6,0.6285548186316299,++++++++++.+++++,15,15
KCNA3,1.3866177065452463,0.3268674772018574,0.05299210398514347,6.1682298421949024,6.905871429595986e-10,1.2090297453741774e-6,0.466696236214726,+++++++-----++-+,10,16
NOL11,1.7863335123253705,0.580165202045403,0.09424991354059338,6.155604607483552,7.479160868586428e-10,1.2708854118285654e-6,0.4970630792072932,++++++++++.+++++,15,15
LAX1,1.3183146064733562,0.2763541074999382,0.04496007289591616,6.1466561261968105,7.913342916642777e-10,1.3062442104746279e-6,0.9079596248436709,+++++++-++-+++++,14,16
PLEKHO1,1.7227784035363374,0.5439383384426368,0.08864255787518902,6.136311400315364,8.445952516515539e-10,1.3554346130254687e-6,0.6555034839412035,+++-++++++++-+++,14,16
PRKD3,1.7068236833178279,0.5346341480954272,0.0872630094949028,6.126698485303285,8.972126304427351e-10,1.4009611489513128e-6,0.8260135941469011,++++++++++++++++,16,16
CHTOP,1.851162251897321,0.6158136860962401,0.10111349710444814,6.090321309529205,1.126842961583433e-9,1.7132164542768753e-6,0.719017387716322,++++++++++-++-++,14,16
PSME2,1.613662010235171,0.4785061366636179,0.07897286691612367,6.059120750571646,1.368676213972553e-9,2.027535886821802e-6,0.9167749610172338,++++++++++.+--++,13,15
FBXO6,1.6943667447168262,0.5273090690888471,0.08738787936300621,6.034121355645027,1.5982992210359618e-9,2.308503479903291e-6,0.8962493864194565,++++-++...-..+.+,8,10
POU2AF1,1.2465029982973022,0.2203420293514684,0.036540525019597335,6.03007289121585,1.6388574402267083e-9,2.309349993942874e-6,0.974372805230794,++++++++++-+-+++,14,16
MCUR1,1.6577925056931184,0.5054869015311694,0.08395426744324211,6.0209792417390515,1.733649936786098e-9,2.3847593201876198e-6,0.4006510103879124,+++-+-.+++.+++++,12,14
IKZF3,1.365944467688344,0.311846107092617,0.05191362063425188,6.007019030509794,1.8896534403011475e-9,2.5389032060455466e-6,0.9325667418452827,+++++++-++--++-+,12,16
SLA2,1.5219998530817358,0.42002516290974945,0.07004959237604418,5.996111449941731,2.020983464275351e-9,2.6536431514782757e-6,0.5731414749109617,+++++++...+..+.+,10,10
GBP1,1.348342331259025,0.29887593518894756,0.04993930309164812,5.98478386132969,2.1667739630861904e-9,2.78184886540759e-6,0.3086168327862685,++++++++++-+--++,13,16
YY1AP1,1.8145278769045756,0.5958253109613907,0.09970556222094809,5.975848264523482,2.2889597795051865e-9,2.874833963068101e-6,0.5991150574445371,++++-+++++.++-++,13,15
RPN1,1.7785500112940409,0.5757984319401918,0.09644626081382418,5.970147801288936,2.3703875296034733e-9,2.9137610454321503e-6,0.5106734593261477,+++-++++++-+++++,14,16
CXCL11,1.2039761366413402,0.18562952662487717,0.03113774422276535,5.961559877197533,2.4984133297360727e-9,3.0071527440035807e-6,0.7734605274459193,+++++-++++++-+++,14,16
PDCD10,1.7871110823746341,0.5806003956189589,0.09752728878222883,5.953209638744253,2.6293414149257313e-9,3.1001545082840653e-6,0.6811447092077672,++++--++++-+++++,13,16
UBE2L6,1.4515089300842348,0.37260365677794155,0.0626307104591152,5.949216511301977,2.6942904938595517e-9,3.113198779844835e-6,0.4245262609124944,+++++-++++++--++,13,16
GMNN,1.8355326474286706,0.6073347104643295,0.1021824318195626,5.943631401695185,2.787760843020375e-9,3.1580410773462577e-6,0.11719094952568615,+++--+++++.+++++,13,15
ING1,1.9056010776449734,0.6447974851335233,0.10865133317830092,5.934556588232438,2.946406979820871e-9,3.220634417872077e-6,0.41750114875712824,++++++++++-+++++,15,16
RFC4,1.5980981069127689,0.4688142390220089,0.07906953147379477,5.929138952560803,3.0452731188714308e-9,3.220634417872077e-6,0.320496485662567,++++++++++-+++++,15,16
CXCL13,1.2283562541094502,0.20567689686106108,0.03470025171709994,5.927245097179094,3.080590099320968e-9,3.220634417872077e-6,0.3024771883624734,+++++-++++-+-+++,13,16
ALAS1,1.7814497803462765,0.5774275161330374,0.09743331413327024,5.92638689620294,3.0967249994099505e-9,3.220634417872077e-6,0.5062314213503404,++++-+++++-++-++,13,16
DDX23,2.252973226216317,0.8122507777649015,0.1370872388815699,5.925064830188954,3.121742088151008e-9,3.220634417872077e-6,0.34151192044839956,++++++++++.++-++,14,15
IDO1,1.235471908777416,0.21145300946397808,0.035742702535043566,5.915977093692374,3.2991112634608286e-9,3.3439097216699284e-6,0.415015733867795,++++++++++-+--++,13,16
LRRC59,1.6920874586944847,0.525962949383921,0.08902077236244949,5.908317075058106,3.4562030615842503e-9,3.4427357875856636e-6,0.4447438530033766,++++-+++++.+++++,14,15
USP1,1.6853210534295542,0.5219560818145892,0.08845906781914878,5.9005378949019525,3.6231838651889682e-9,3.547895332668262e-6,0.16807677640171664,++++++++++.+++++,15,15
CD96,1.4085471661719764,0.3425587945836845,0.058177510874522366,5.888165193635003,3.9050668892055576e-9,3.7601889076160315e-6,0.8082320922526237,++++-++-++--++++,12,16
PMF1,2.0960721062459178,0.7400651677019506,0.12580775042397674,5.882508551404058,4.04094452572933e-9,3.8272381808112504e-6,0.4340426669561008,+-+-++++++.++-++,12,15
CTSW,1.3703312808611194,0.3150525214560352,0.05377349153616511,5.858881624678362,4.6599470452724516e-9,4.3423190418317845e-6,0.613446185950054,+++-+-+-+++--+++,11,16
EZH2,1.6310366406214263,0.4892157885131038,0.08366494497740389,5.847320985452516,4.995529736695839e-9,4.511700000148637e-6,0.07320422808565816,++++-+++++.+++++,14,15
TNFAIP3,1.4722158135086936,0.3867686219981025,0.06616668976966161,5.845367560996554,5.05450942052928e-9,4.511700000148637e-6,0.7873698885034117,++++--+++--+++++,12,16
CD7,1.4012827126559713,0.33738804047051857,0.05772584805372953,5.84466147914341,5.075994392108239e-9,4.511700000148637e-6,0.8096753303263339,+++-+-+--+--+-++,9,16
HMGB2,1.6044241780201893,0.4727649246208238,0.0809342923784944,5.841342535126006,5.178180949073004e-9,4.532276702461256e-6,0.18824589611572584,++++--++++++++++,14,16
FCRL5,1.2772364199506951,0.24469869691599,0.04190866998470075,5.83885618430077,5.256041455756988e-9,4.532276702461256e-6,0.9892211981200127,+++++-+...+..+.+,9,10
DNAJC9,1.6677549863683845,0.5114784024806283,0.08764918439398585,5.835518105696417,5.362367294518196e-9,4.555961883433739e-6,0.7463853610009707,++++-+++++.+++++,14,15
NUP153,1.9884492850800384,0.6873550812317677,0.11783913944325036,5.832994745882272,5.4441283063310785e-9,4.558392301014083e-6,0.1661943431027507,++++++++++++++++,16,16
BATF2,1.3787212000522953,0.32115640291939057,0.055082987217701516,5.830410062005197,5.529133335179595e-9,4.561971674016673e-6,0.4891578031363965,+++++++...-..-.+,8,10
IL4I1,1.499459756335569,0.4051048807911405,0.06950895643283254,5.828096141575638,5.60632791316481e-9,4.561971674016673e-6,0.3423580337994034,+++-+++...-..+.+,8,10
FKBP11,1.5069677717565124,0.4100995337199363,0.07043048508117536,5.8227560586480696,5.788501530907165e-9,4.644790103425424e-6,0.5017474905390222,++++++++++++-+++,15,16
CD8A,1.3364098887736446,0.28998683103433043,0.049834686823541016,5.818975687780299,5.920934473760707e-9,4.685973538178782e-6,0.8965232852122456,+++++++-++-+-+++,13,16
SMARCD2,1.7784075385343148,0.5757183226007879,0.09907458384678984,5.810958777188364,6.211605906933249e-9,4.849585400907588e-6,0.6775990776746845,++++++++++.+++++,15,15
PTPN22,1.4831522716263554,0.3941697359874941,0.06790476296533113,5.8047435669385665,6.446458745925053e-9,4.9385493424438655e-6,0.5897939150304852,+++++++++++--+++,14,16
IL2RG,1.350925221393427,0.3007897068861534,0.051829488531602796,5.803447331006329,6.496516599607674e-9,4.9385493424438655e-6,0.5631921962406541,+++---+-++++-+++,11,16
DTX3L,1.8250589548866638,0.6016122905601773,0.10375657535694356,5.798305201289746,6.69884559517517e-9,5.026222148255198e-6,0.3833874034573392,+++++++......-.+,8,9
MTMR4,2.3051066502077098,0.8351269444488213,0.1441257375248292,5.794433102588288,6.855234179621689e-9,5.077619224275173e-6,0.13883228157057845,++++++++++++++++,16,16
TUBG1,1.7373068359638395,0.5523361187305817,0.09574653052361755,5.768732461740099,7.986998375740034e-9,5.841023343797527e-6,0.22341442398996642,+++--+++++-+++++,13,16
SNX20,1.5316643642536207,0.4263549639307639,0.07406426511052094,5.756554301788373,8.584817542144925e-9,6.1698063902637604e-6,0.407409846013962,+++++-+...+..+.+,9,10
CEP128,1.723753802352349,0.5445043559836228,0.09460963919214174,5.75527357078061,8.650159546013165e-9,6.1698063902637604e-6,0.8088217868116253,++++-++...-..+.+,8,10
C5orf56,1.7340387091748408,0.5504532017394242,0.09610539771024229,5.727599228079158,1.0186185810920666e-8,7.124623018922876e-6,0.822168001888454,+-+...+...-....+,4,6
DEF6,1.6547135535064184,0.5036279143967342,0.0879456520159185,5.726581165212983,1.0247474571075573e-8,7.124623018922876e-6,0.7667714721625821,+++++++--+-+-+++,12,16
SOCS1,1.4431473003093722,0.3668263537984792,0.06409774197846699,5.722921626813484,1.0470757556467103e-8,7.124623018922876e-6,0.668815882983046,+.++-++-++++-+++,12,15
HSPA14,1.5174889213307239,0.41705694331908344,0.07287717229510207,5.722737726846641,1.0482101924887397e-8,7.124623018922876e-6,0.5531461626409488,++++--++++-+++++,13,16
PSMB4,1.5601990076281562,0.4448133821176216,0.07782819913471799,5.7153240992723555,1.0949513260224177e-8,7.355781152281298e-6,0.45757827145095403,++++-+++++.++-++,13,15
FDPS,1.5999987356754017,0.4700028390425494,0.08234273030360072,5.707885047163622,1.1438862993102538e-8,7.452331126021188e-6,0.9538891774467492,++++++++++.++-++,14,15
TBL1XR1,1.6270802502213022,0.48678715106556364,0.08528679887214022,5.707649454581388,1.145470269790483e-8,7.452331126021188e-6,0.874018084157052,++++++++++-+++++,15,16
POLA1,1.7958423210923626,0.5854741715338428,0.1026075447083013,5.705956352413099,1.156916448314314e-8,7.452331126021188e-6,0.5069716223084232,+++-++++++.+++++,14,15
ANKRD36BP2,1.3307907828476264,0.28577333911447433,0.050088502255704055,5.705368023495464,1.1609197932320888e-8,7.452331126021188e-6,0.7775509630429593,+++++-+-+.--++-.,9,14
CCND1,0.770370024575515,-0.2608843281654795,0.04581264820700017,-5.694591742147235,1.2366747569482546e-8,7.851389825047085e-6,0.41686885588228195,-+-+-+----------,13,16
ICOS,1.4052045339974566,0.3401828679894822,0.059772758756715415,5.691269318421128,1.2609843094675107e-8,7.876327073725434e-6,0.399789575888111,+++++++-++---+++,12,16
SEPHS1,1.5312998916418594,0.42611697707683305,0.0748842770437133,5.690339733507603,1.2678686223153415e-8,7.876327073725434e-6,0.59804123300189,+++---++++++++++,13,16
IGLL5,1.2186042597854447,0.19770615446494977,0.034774730952069656,5.685339585731088,1.3055297897225776e-8,8.014762547495642e-6,0.6097071310955181,+++...+...-....+,5,6
NCF1C,1.5709138882819194,0.4516575444560421,0.07949398379515689,5.681656936704674,1.3339603085318123e-8,8.014762547495642e-6,0.4638937032346383,+++...+.........,4,4
CDKN2C,1.4517001712502569,0.3727354014505598,0.06561906032867534,5.680291665006904,1.344652468626632e-8,8.014762547495642e-6,0.428217273233985,++++++++++++++++,16,16
MRPL9,1.5727952422512468,0.4528544453879082,0.07973378728178561,5.679580273635871,1.3502566959582906e-8,8.014762547495642e-6,0.3954192264594728,++++-+++++.+++++,14,15
PRIM1,1.9458386961657594,0.665693090382599,0.11723228009718313,5.678411183598522,1.3595159235202218e-8,8.014762547495642e-6,0.3169150961144889,+++-++++++++++++,15,16
SIGLEC10,1.4559117400914763,0.3756323298681038,0.06627901521604801,5.667439817016965,1.4494694129551234e-8,8.458752107481749e-6,0.6776964063937606,++++--+...-..+.+,7,10
GZMA,1.2682707338579897,0.237654345730784,0.04196354128332075,5.663352959804765,1.4844337702790574e-8,8.576167664410225e-6,0.4988503981827491,++++++++++---+++,13,16
MZB1,1.2206226763924535,0.1993611190258606,0.035394280758730134,5.632580031356829,1.775334139312461e-8,1.0155262828181994e-5,0.8282124473621464,+++-++.----+-+++,9,15
TMEM14B,1.8404371922436331,0.6100031478776557,0.10839051254829005,5.627827874749533,1.8249305536171245e-8,1.0336621353399582e-5,0.24414572109260935,++++--++++-++-++,12,16
